84.876,0.341	0.103,748.802
4.058,2.735	74.540,0.035	0.619,129.581
0.580,1.799	0.014,97.130
713.667,0.081	713.667,6.343	0.115,463.307	8.443,463.307
2.109,0.094	200.713,0.002
241.199,0.024	0.132,44.488	5.836,44.488
138.569,0.012	0.179,82.658	6.429,82.658
88.480,0.130	88.480,8.125	0.022,223.490
309.473,0.554	0.109,353.785	7.799,353.785
100.186,0.053	0.081,3.927	0.081,86.982
1.401,4.042	106.268,0.228	0.043,43.297
192.316,0.051	192.316,3.860	0.198,268.902
14.262,1.171	0.387,182.506
2.743,0.559	174.118,0.011	0.138,22.047
0.494,2.286	28.200,0.039	0.007,46.925
93.220,0.193	93.220,8.060	0.167,628.448	8.922,628.448
331.715,0.051	0.143,24.518	8.088,24.518
1.247,0.319	115.647,0.008	0.018,26.799
6.688,2.131	124.279,0.195	0.524,151.013
3.293,2.270	223.168,0.134	0.124,119.613
497.437,0.088	1.400,129.554
2.155,4.914	86.323,0.111	1.491,159.910
93.738,0.133	0.016,385.726
0.858,3.058	63.621,0.141	63.621,6.774	0.021,146.625
158.710,0.029	0.250,126.987
0.616,3.135	39.035,0.034	0.018,77.504
5.885,0.317	95.357,0.188	0.164,28.616
185.427,0.509	0.356,23.475
0.227,3.078	0.003,148.554
2.109,5.020	145.742,0.103	0.030,231.380
2.805,3.168	76.197,0.032	0.029,190.782
193.653,1.726	0.077,129.080
172.527,0.008	0.488,31.378	3.210,31.378
4.412,0.250	112.951,0.038
82.182,0.275	0.256,440.860
4.307,0.311	347.518,0.029	0.052,27.973
0.838,0.380	33.748,0.010	0.009,18.416
108.412,0.209	0.090,6.412	0.090,575.455
2.073,7.658	70.274,0.395	0.047,371.843
18.618,0.043	220.605,0.000
3.189,9.984	172.151,0.103	0.116,490.551
1.889,2.901	113.641,0.053	0.038,193.653
101.966,0.040	0.053,135.357
0.308,0.367	17.187,0.007	0.004,30.542
1.333,1.494	47.071,0.019	0.027,96.761
1.759,5.115	57.307,0.077	0.058,303.919
2.787,1.407	132.348,0.024	0.144,10.817
179.908,0.162	179.908,4.717	0.057,215.050
249.486,0.020	249.486,0.925	0.208,83.581
0.340,0.855	21.994,0.855	0.015,47.013
0.862,0.114	75.909,0.001	0.011,7.102
271.517,0.162
78.381,0.091	78.381,2.356	0.017,76.741
2.373,0.003	197.754,0.003
0.241,2.579	20.830,2.579	0.004,57.969
2.029,0.123	126.730,0.003
4.707,1.567	221.003,0.270	0.052,140.547
0.833,0.964	18.939,0.048	0.014,91.297
1.802,0.222	110.497,0.110
1.514,0.660	72.024,0.008	0.045,59.552
0.118,2.031	11.719,0.033	0.006,95.307
