Phase,Count,Frequency
0103-0303-3000,1,1e-4
0103-0303-3000-3001-3030-3300-3301,1,1e-4
0103-0303-3000-3003-3030,1,1e-4
0103-0303-3000-3030,4,4e-4
0103-0303-3001-3030,2,2e-4
0103-0303-3002-3030,1,1e-4
0103-0303-3003,1,1e-4
0103-0303-3003-3030,10,0.001
0103-0303-3003-3030-3031,1,1e-4
0103-0303-3020-3030,1,1e-4
0103-0303-3030,45,0.0045
0103-0303-3030-3032,1,1e-4
0103-0303-3030-3300,3,3e-4
0103-0303-3031,1,1e-4
0103-1303-1310-3003-3030,1,1e-4
0103-2103-3030-3032,1,1e-4
0103-3000-3030,1,1e-4
0103-3002-3030,1,1e-4
0103-3030,2,2e-4
0111-0130-0301-0303-3010-3030-3300,1,1e-4
0113-0130-0133-0303-0330-3030,1,1e-4
0113-0130-0303-3030,1,1e-4
0113-0303-0330-3030,1,1e-4
0113-0303-3030,5,5e-4
0113-0303-3130,1,1e-4
0123-0130-0303-0330-3030,1,1e-4
0123-0303,1,1e-4
0123-0303-0330-1330-3030,1,1e-4
0123-0303-3003-3023-3030,1,1e-4
0123-0303-3030,5,5e-4
0130-0132-0133-0303-3030,1,1e-4
0130-0132-0303-3030,1,1e-4
0130-0132-0303-3030-3111,1,1e-4
0130-0133-0303,1,1e-4
0130-0133-0303-0330-2130-3030,1,1e-4
0130-0133-0303-0330-3030,4,4e-4
0130-0133-0303-3030,5,5e-4
0130-0133-0303-3030-3100,1,1e-4
0130-0232-0303-3030,1,1e-4
0130-0300-0303,1,1e-4
0130-0300-0303-3000-3030,1,1e-4
0130-0300-0303-3030,1,1e-4
0130-0300-0303-3030-3100,1,1e-4
0130-0303-0320-3030,1,1e-4
0130-0303-0330-3003-3030,1,1e-4
0130-0303-0330-3030,8,8e-4
0130-0303-0330-3030-3033,1,1e-4
0130-0303-2130-3030,1,1e-4
0130-0303-3000-3030,3,3e-4
0130-0303-3003-3030,1,1e-4
0130-0303-3010-3030,1,1e-4
0130-0303-3013-3030-3310-3330,1,1e-4
0130-0303-3022-3030,1,1e-4
0130-0303-3030,32,0.0032
0130-0303-3030-3100,1,1e-4
0130-0303-3030-3101,1,1e-4
0130-0303-3030-3130,1,1e-4
0130-0303-3030-3300,2,2e-4
0130-0303-3130,1,1e-4
0130-0313-0330-3030,1,1e-4
0130-0313-1030-3030,1,1e-4
0130-0313-3030,1,1e-4
0130-0320-3030,1,1e-4
0131-0133-0303-3030,4,4e-4
0131-0303-3003-3030,1,1e-4
0131-0303-3030,2,2e-4
0132-0303-0320-2320-3030,1,1e-4
0132-0303-0323-3030,1,1e-4
0132-0303-0332-3030-3300,1,1e-4
0132-0303-3030,4,4e-4
0133-0300-0303-0330-3030,1,1e-4
0133-0303-0320-3030,1,1e-4
0133-0303-0323-3033,1,1e-4
0133-0303-0330-3030,3,3e-4
0133-0303-0331-0333-3030,1,1e-4
0133-0303-1033-3030,1,1e-4
0133-0303-1130-3030,1,1e-4
0133-0303-1230-3030-3300,1,1e-4
0133-0303-2030-3030,1,1e-4
0133-0303-2130-3030-3033,1,1e-4
