parIndex,nStates,Phase,State,DSGRNPhase,nStatesRAC,basin,A,B,C,D,basinDiscret
1023,4,0202-1120-1200-2020,1200,0202-1120-1200-2020,4,0.69,0.302553,6.996219,-3.249589,-3.544948,0.69
1023,4,0202-1120-1200-2020,2020,0202-1120-1200-2020,4,0.02,6.174473,-5.933272,2.933758,-8.181415,0.02
1024,2,0202-2020,2020,0202-2020,2,0.87,6.523212,-6.009952,6.210045,-5.732717,0.87
1024,2,0202-2020,0202,0202-2020,2,0.13,-1.644371,6.816285,-5.717277,5.410805,0.13
1025,3,0202-0221-2020,0202,0202-2020,3,0.73,-5.471137,8.359775,-5.78307,6.233157,0.73
1025,3,0202-0221-2020,2020,0202-2020,3,0.19,7.079711,-4.101037,2.224521,-4.100413,0.19
1025,3,0202-0221-2020,0221,0202-2020,3,0.08,-5.471137,1.813291,0.585693,0.680247,0.08
1026,1,2020,2020,0202-2020,1,1,6.459869,-9.054602,9.022507,-8.957194,1
1027,2,1202-2120,1202,1202-2120,2,0.98,-1.162971,1.911174,-6.848882,9.679642,0.98
1027,2,1202-2120,2120,1202-2120,2,0.02,1.602738,-1.398792,4.802852,-2.184928,0.02
1028,2,0202-2020,2020,-1,2,0.91,6.907559,-6.514152,6.875489,-7.546039,0.91
1028,2,0202-2020,0202,-1,2,0.09,-2.714074,6.487773,-1.342997,5.221951,0.09
1029,2,0202-2020,0202,0202-2020,2,0.93,-1.932926,6.593432,-5.829917,6.953176,0.93
1029,2,0202-2020,2020,0202-2020,2,0.07,8.156573,-2.80536,4.542619,-3.12404,0.07
1030,3,0202-2020-2101,0202,0202-2020-2101,3,0.74,-6.706141,7.17741,-5.298116,6.775292,0.74
1030,3,0202-2020-2101,2020,0202-2020-2101,3,0.07,5.851751,-3.830066,4.977782,-5.526143,0.07
1030,3,0202-2020-2101,2101,0202-2020-2101,3,0.19,5.851751,1.091294,-4.686003,0.287613,0.19
1031,1,0202,0202,0202,1,1,-5.45321,7.043502,-5.810906,7.102614,1
1032,2,0202-2020,0202,0202-2020,2,0.25,-4.027896,4.429313,-0.497082,8.625609,0.25
1032,2,0202-2020,2020,0202-2020,2,0.75,6.873261,-6.529709,6.885304,-3.893834,0.75
1033,2,0202-2020,2020,0202-2020,2,0.31,5.516672,-5.661489,7.417783,-2.792597,0.31
