1.765,3.908	39.137,0.078	0.031,173.954
0.461,2.514	34.552,0.025	0.042,131.710
1.265,1.619	106.537,0.018	0.023,88.068
7.667,11.337	227.639,0.294	3.864,621.524	114.721,16.142
3.045,1.251	303.798,0.108	0.034,106.717
1.041,8.381	45.304,0.087	0.011,257.472
610.497,0.049	0.750,140.432
272.299,2.523	0.509,86.456	2.792,86.456
0.798,1.828	26.149,0.033	0.052,83.405
7.481,1.678	105.795,0.171	105.795,7.964	0.265,78.242
0.904,10.403	0.010,105.249
1.030,5.799	94.310,0.140	0.048,56.778
22.708,0.256	22.708,11.681	0.003,484.649
9.219,6.855	26.432,0.070	0.328,99.256
0.590,10.750	43.317,4.989	0.078,141.023
1.180,0.459	97.971,0.009	0.316,44.867	26.219,44.867
2.170,1.199	118.726,0.014	0.023,77.324
60.188,0.068	0.053,5.125	0.053,81.997
2.001,0.053	58.913,0.001
3.657,4.686	203.131,0.079	0.154,56.541
0.162,0.510	14.891,0.510	0.162,26.762	14.891,26.762
2.386,3.588	69.911,0.182	0.037,116.865
2.644,0.569	50.656,0.007	0.041,44.961
1.226,3.787	71.231,0.045	0.068,217.164
118.873,0.039	0.015,65.569
0.316,4.728	0.015,83.094
25.319,0.011	120.839,0.011	0.808,30.697
0.854,6.069	80.363,0.109	0.063,153.133	5.920,153.133
2.022,0.762	103.177,0.008	0.023,68.089
1.435,4.871	105.256,0.068	0.111,159.851	8.124,159.851
4.728,1.819	161.583,0.037
575.931,0.047	0.456,64.989	13.900,64.989
12.309,0.184	128.640,0.184	12.309,8.848	128.640,8.848	0.993,92.471
1.452,0.157	97.461,0.002
0.954,3.248	44.485,0.093	0.016,250.435
67.396,0.592	0.027,283.490
0.114,1.519	0.002,118.155
1.450,1.160	63.588,0.018	0.015,86.444
1.753,5.320	141.402,0.116	0.018,73.986
3.729,3.031	0.192,95.830
0.760,1.878	74.635,0.027	0.013,43.692
101.793,0.009
153.750,0.157	0.027,144.019
0.360,2.252	13.481,2.252	0.004,82.065
1.630,1.554	134.621,0.016	0.020,49.292
2.282,2.864	32.774,2.864	0.047,117.690
1.611,2.135	66.464,0.026	0.018,207.246
1.172,3.013	59.104,0.101	0.012,239.976
435.924,0.067	1.121,149.716	109.811,5.727
2.919,0.389	42.748,0.005	0.045,34.911
2.458,0.985	162.910,0.018	0.208,41.764
0.587,6.851	42.861,0.456	42.861,12.751	0.026,191.706
7.294,6.832	129.751,0.075	0.257,330.006
0.475,0.092	10.178,0.020
1.569,2.713	0.033,194.500
180.824,0.343	0.611,115.367
10.440,0.010	278.746,0.010	0.110,79.857
4.108,1.008	100.039,1.008	0.081,8.794	0.081,210.593
4.527,0.674	112.923,0.015	4.527,8.571
2.729,10.709	232.540,0.128	0.088,485.002
65.520,0.925	0.771,318.842	1.712,318.842
1.086,0.664	95.871,0.008	0.027,64.626
2.448,0.015	50.014,0.015	2.448,1.403	50.014,1.403	0.049,99.976
1.871,2.976	65.486,0.034	0.020,265.931
305.754,0.010	0.406,66.141
2.919,0.383	199.797,0.006	0.031,36.778
