15.912,2.964	78.283,0.054	1.655,56.944
5.053,1.757	99.238,0.020	0.152,85.991
20.987,0.074	75.203,0.074	0.217,196.539
0.194,0.137
0.006,1.176
0.987,1.087	57.394,0.016	0.016,27.908
2.227,6.754	78.066,0.097	0.966,115.563
16.724,3.769	111.643,0.041
111.613,0.285	0.116,17.202	0.116,175.300
3.062,2.366	244.289,0.024	0.036,110.095
134.265,0.044	0.027,4.347	0.027,417.619
4.789,0.334	103.850,0.013
1.488,1.195	124.906,0.319	0.015,43.025
3.604,0.655	160.709,0.012
7.313,4.238	139.182,0.358	0.124,223.360
10.887,0.608	163.816,0.013
82.124,0.172	0.040,106.951
0.596,0.249	32.600,0.012	0.596,21.594
68.825,1.358	0.085,9.694	0.085,149.013
18.656,0.285	0.009,76.598
231.146,0.388	231.146,9.752	0.061,331.604
3.079,5.280	93.456,0.069	0.057,96.910
3.114,1.485	107.270,0.129	0.089,92.592
4.143,1.465	214.423,0.062	0.046,54.218
0.253,6.357	24.738,6.357	0.003,164.121
0.066,275.397
79.106,0.092	79.106,5.142	0.071,286.452
1.440,1.744	81.432,0.040	1.440,25.837
1.330,2.856	39.356,0.030	0.050,222.163
0.254,0.576	0.254,18.656
2.039,0.664	186.417,0.007	0.027,64.336
96.348,0.092	0.030,2.549	0.030,83.293
15.827,0.013	262.355,0.013	0.666,38.365
5.568,0.183	243.866,0.004
0.126,4.205	0.002,113.599
0.892,3.268	88.785,0.087	0.031,75.966
3.447,0.943	342.401,0.033	0.054,80.718
2.291,0.534	162.415,0.007	0.152,37.108	10.757,37.108
1.105,6.808	102.389,0.094	0.017,102.303
2.475,0.744	156.367,0.015	2.475,27.866
1.124,1.481	57.206,0.037	0.039,48.226
259.777,0.013
1.149,0.762	63.691,0.055	0.057,65.941
1.193,2.363	88.139,0.038	0.039,200.242
0.561,1.558	53.986,0.017	0.010,109.605
1.658,6.332	139.945,0.202	139.945,11.807	0.019,369.954
5.672,1.439	39.658,0.020	2.681,143.371
0.524,3.931	31.375,0.230	0.054,116.513
0.543,1.728	0.006,123.824
11.049,0.080	121.055,0.080	0.183,118.825
3.750,1.412	305.993,0.035	0.350,107.643	28.546,107.643
3.999,0.990	0.112,49.244
0.898,1.042	31.840,0.125	0.029,78.817
1.751,1.279	1.751,22.508
0.897,0.888	77.286,0.015	0.009,66.910
0.258,1.173	0.005,105.099
6.824,1.051	628.558,0.024	1.469,79.397
519.900,0.816	0.109,81.577
1.183,1.045	77.491,0.011	0.016,66.552
4.453,1.207	47.252,0.019	0.866,107.708
41.091,0.302	0.043,10.247	0.043,108.261
0.520,1.974	42.113,0.034	0.007,137.933
5.474,2.126	193.166,0.145	0.327,104.456
1.354,4.889	78.807,0.110	0.016,85.535
100.224,0.039
0.079,2.475	0.001,58.252
16.152,0.164	273.667,0.164	0.290,264.601
11.196,5.468	327.787,0.056	0.419,121.958
1.461,0.565	117.816,0.008	0.017,47.586
7.075,6.408	411.231,0.094	0.076,318.386
77.482,1.023	0.017,558.622
1.230,1.353	114.169,0.026	0.032,85.151
3.988,0.063	192.325,0.063	0.052,58.413
1.818,4.026	162.193,0.094	162.193,7.939	0.061,338.645
0.234,0.855	0.003,63.675
0.366,0.441	22.115,0.441	0.093,19.982
1.647,0.046	73.088,0.046	1.647,3.704	73.088,3.704	0.020,358.713
1.462,3.078	133.626,0.062	0.017,222.157
1.109,1.608	103.363,0.017	0.013,113.555
1.222,1.631	111.708,0.018	0.054,78.886
174.517,0.025	0.318,147.583
0.403,0.713	0.005,55.361
1.164,7.668	95.667,0.200	95.667,19.133	0.046,734.905
3.097,2.212	120.238,0.186	120.238,11.749	0.617,139.574	23.945,139.574
0.552,1.799	0.009,143.468
0.991,1.923	86.833,0.342	0.015,43.169
2.337,1.430	50.510,0.057	0.103,140.775
0.059,0.345	0.059,21.464
1.339,1.762	72.988,0.037	0.015,151.114
0.948,0.378	35.996,0.016	0.011,36.148
1.351,1.220	120.532,0.027	0.023,92.188
0.260,3.858	22.045,0.047	0.007,297.668
6.222,0.333	516.236,0.333	0.170,15.466	0.170,172.258
29.550,0.059	0.027,5.317	0.027,47.793
2.430,1.565	154.843,0.036	0.026,101.792
0.356,3.039	0.008,88.206
2.267,2.681	135.035,0.030	0.053,146.770
73.234,0.149	0.133,10.449	13.069,10.449	0.133,489.946	13.069,489.946
0.035,0.676
0.179,0.142
2.096,1.636	144.742,0.018	0.025,139.037
73.282,0.098	0.016,7.087	0.016,432.228
653.003,0.039	0.133,86.163
0.676,1.748	49.128,0.061	49.128,4.556	0.021,130.642
0.317,8.605	23.806,0.116	0.013,455.879
4.164,1.826	144.703,0.058	0.090,65.301
3.562,2.713	83.063,0.371	0.037,56.970
2.056,9.969	77.630,0.268	0.601,289.739
4.746,5.308	375.690,0.128	0.079,103.428
3.614,0.793	50.084,0.059	0.069,63.253
3.667,1.161	81.344,0.015	0.094,112.518
4.837,4.580	443.214,0.435	443.214,25.967	0.101,273.680
1.226,1.261	87.393,0.045	0.021,118.971
8.715,1.548	307.929,0.029	0.111,69.857
14.491,1.637	939.427,0.040	0.361,73.962
4.130,2.338	39.965,0.027	0.044,111.683
76.846,0.044	0.054,1.698	0.054,72.343
2.579,2.185	108.795,0.166	0.276,184.541
41.155,0.549	0.019,247.508
117.513,1.107	0.046,32.741
6.353,1.671	149.456,0.024	0.070,125.936
190.150,0.032	4.331,111.206
156.849,0.031	0.143,91.670
0.244,2.711	18.449,0.200	0.008,228.388
