parIndex,nStates,Phase,State,DSGRNPhase,nStatesRAC,basin,A,B,C,D,basinDiscret
8406,2,0202-2020,0202,0202-2020,2,0.935,-4.103914,7.888826,-6.552554,6.466391,0.935
8406,2,0202-2020,2020,0202-2020,2,0.065,6.000689,-3.253604,4.833122,-1.619128,0.065
8407,3,0202-2020-2100,2020,0202-2020-2100,3,0.354,5.132395,-4.551406,4.290029,-4.973467,0.354
8407,3,0202-2020-2100,2100,0202-2020-2100,3,0.11,5.132395,0.939987,-0.832809,-2.224342,0.11
8407,3,0202-2020-2100,0202,0202-2020-2100,3,0.536,-6.044411,5.138256,-4.991591,2.339372,0.536
8408,3,0202-2001-2020,2020,0202-2001-2020,3,0.052,3.906468,-6.434711,3.476429,-4.092693,0.052
8408,3,0202-2001-2020,2001,0202-2001-2020,3,0.325,3.906468,-0.588221,-2.185249,0.309267,0.325
8408,3,0202-2001-2020,0202,0202-2001-2020,3,0.623,-8.036995,4.546088,-8.177476,4.661551,0.623
8409,2,0202-2020,0202,0202-2020,2,0.938,-4.367105,6.242748,-4.96687,7.93887,0.938
8409,2,0202-2020,2020,0202-2020,2,0.062,6.088583,-3.391063,6.754233,-3.907563,0.062
8410,2,0202-2120,0202,0202-2120,2,0.476,-2.537064,6.677869,-0.633145,7.034961,0.476
8410,2,0202-2120,2120,0202-2120,2,0.524,5.567437,-2.515264,5.055911,-2.973577,0.524
8411,2,0202-2020,0202,0202-2020,2,0.071,-2.068394,6.402495,-4.684944,5.863627,0.071
8411,2,0202-2020,2020,0202-2020,2,0.929,8.447137,-0.992517,8.01262,-4.636717,0.929
8412,2,1202-2020,1202,1202-2020,2,0.959,-2.198122,0.752045,-8.684904,5.555717,0.959
8412,2,1202-2020,2020,1202-2020,2,0.041,5.676484,-4.819846,1.720132,-5.672312,0.041
