parIndex,nStates,Phase,State,DSGRNPhase,nStatesRAC,basin,GRHL2,ZEB,miR200,SLUG,basinDiscret
149,2,0111-0303,0111,0211-0403,2,0.2,21.883,0.148,62.094,2.023,0.2
149,2,0111-0303,0303,0211-0403,2,0.25,1.626,654.737,0.864,78.961,0.25
150,3,0301-0303-1011,1011,0401-0403-1201-1203,3,0.5,47.08,0.063,178.918,6.388,0.5
150,3,0301-0303-1011,0303,0401-0403-1201-1203,3,2,0.509,4024.041,0.037,118.127,2
150,3,0301-0303-1011,0301,0401-0403-1201-1203,3,0.16666666666666666,0.509,2914.057,1.983,6.388,0.16666666666666666
151,3,0303-1010-1013,0303,0403-1010-1013,3,0.3333333333333333,1.735,308.702,0.172,71.46,0.3333333333333333
151,3,0303-1010-1013,1010,0403-1010-1013,3,0.25,159.029,0.001,47.609,5.75,0.25
151,3,0303-1010-1013,1013,0403-1010-1013,3,0.2,159.029,0.054,5.22,71.46,0.2
152,2,1010-1013,1010,1010-1203,2,0.16666666666666666,71.647,0,92.416,2.532,0.16666666666666666
152,2,1010-1013,1013,1010-1203,2,1,71.647,0.012,6.715,202.322,1
153,2,0303-1010,0303,0300-0403-1010,2,0.5,1.774,296.17,0.305,53.105,0.5
153,2,0303-1010,1010,0300-0403-1010,2,0.6666666666666666,132.311,0,99.64,0.586,0.6666666666666666
154,2,0303-1010,0303,0403-1010-1103,2,0.5,2.648,1044.969,0.043,290.917,0.5
154,2,0303-1010,1010,0403-1010-1103,2,0.2,100.808,0.001,47.869,10.654,0.2
155,3,0303-0311-1011,0311,0311-0403-1111,3,0.16666666666666666,2.15,168.422,7.573,5.542,0.16666666666666666
155,3,0303-0311-1011,1011,0311-0403-1111,3,0.5,78.317,0.1,241.991,5.542,0.5
