63.614,4.179	0.030,101.874
0.014,25.269
0.041,177.504
0.020,89.388
79.846,9.612	0.086,224.731
157.098,10.783	0.079,366.148
2.607,1.138	230.255,1.138
1.526,3.649	68.548,3.649	0.021,243.029
1.403,8.736	107.810,0.089
42.551,5.091	0.010,399.038
33.279,1.932	0.006,154.654
30.108,13.760	0.021,273.553
81.487,1.078	0.252,72.552
0.457,23.175	28.409,0.291
26.131,2.226	0.003,93.539
110.543,2.657	0.016,149.900
0.033,63.887
4.196,4.632	197.640,0.053
41.669,3.784	0.170,105.560
85.425,2.270	0.055,74.625	3.232,74.625
3.281,40.696	109.273,3.920
333.566,0.406
3.084,17.380	89.720,0.361
636.952,1.268	0.327,81.424
38.295,11.502	0.011,902.750
111.112,0.917
40.859,5.290	0.005,225.526
0.304,60.191	19.164,60.191
0.016,173.690
161.879,2.531	0.208,194.871
146.636,2.431	0.079,94.688
65.246,2.145	0.056,208.124
0.986,12.842	44.303,0.365
4.086,1.396	112.394,1.396	0.114,61.566
1.057,9.070	83.471,0.128
0.003,175.935
146.431,0.969	0.052,39.113
1.110,10.124	84.463,0.170
5.840,1.670	124.502,1.670	0.097,63.410
8.584,2.850	77.293,2.850	0.211,265.746
10.210,39.552	61.607,0.759
278.871,1.978	0.072,61.582
198.994,1.374	0.273,80.033
92.784,4.232	0.014,102.280
0.001,277.332
116.542,3.799	0.500,77.097	6.613,77.097
2.963,169.865
138.226,2.243	1.752,199.526
134.774,1.071	0.039,79.433
0.175,41.997	12.554,41.997
10.083,17.728	490.441,1.172
3.191,36.839	116.640,0.546
254.888,1.744	0.068,144.810
95.431,7.718	0.061,357.036
78.095,1.017	0.010,99.388
483.808,1.763	0.793,93.710
290.594,3.099
373.046,17.023	1.752,64.081
106.671,1.555	0.034,109.612
106.902,1.547
0.029,202.117
85.820,0.793	0.109,43.138
6.427,0.606	375.999,0.606	0.066,49.918
118.462,0.595	0.015,48.071
100.062,5.043	0.011,276.835
0.171,432.805
3.743,13.754	100.778,0.459
39.599,0.574	1.528,38.605
102.938,2.322
46.687,8.311	0.009,101.622
450.489,1.253	0.445,115.540
0.011,297.015
14.635,1.433	217.080,1.433	0.270,59.925
0.260,9.172	17.647,0.096
135.770,1.221	0.043,61.366
193.130,3.018	0.349,129.177	18.816,129.177
123.485,0.843	0.040,58.551
90.267,1.742	0.376,95.011
1.565,2.084	28.754,0.142
114.946,0.751	0.180,41.560
0.001,95.341
302.470,5.789	0.112,61.864
36.839,1.157	0.016,78.124
0.860,37.043	49.812,2.199
84.016,3.461	0.074,174.675
39.865,4.655	0.024,198.708
4.090,3.750	209.132,0.116
321.953,1.909	4.381,88.343
0.172,850.822
41.411,0.735	0.061,57.628
0.167,10.282
99.156,4.240	0.042,139.162
84.662,5.105	0.030,244.848
0.008,60.540
77.504,7.193	0.021,351.727
79.799,2.272	0.075,151.117
365.211,0.375	0.332,30.432
3.402,34.804	258.966,0.679
95.562,5.201	0.016,125.366
73.016,4.149	0.152,48.810
311.086,10.443	0.233,311.089	3.794,311.089
0.598,24.965	35.160,24.965
92.616,30.531
1.288,26.275	39.271,0.271
103.829,2.674	0.018,161.529
0.005,143.752
82.051,0.679	0.104,38.516
138.662,2.516	0.124,174.446
174.976,6.622	0.233,53.337
96.740,0.823	0.047,78.961
158.956,2.466	0.192,182.162
99.954,3.160	0.474,58.539
4.945,37.470	422.372,0.540
1.642,7.748	128.752,0.310
594.894,5.743	0.129,62.857	10.824,62.857
