ParIndex,GRHL2,ZEB,miR200,SLUG,Count
154,1.768,1308.712,1.342,154.432,1
154,1.866,0.352,54.596,154.432,1
154,76.919,0,122.394,5.623,1
154,76.919,0.011,56.12,154.432,1
155,2.192,47.524,1.457,1.2,1
155,2.192,1953.511,0.019,112.648,1
155,170.29,0,54.974,1.2,1
156,3.807,1270.076,0.694,2.446,1
156,3.807,1270.342,0.023,226.474,1
156,170.226,0.04,23.869,2.446,1
156,170.226,0.332,0.802,226.474,1
157,1.182,2093.263,0.062,113.999,1
157,30.208,0.151,4.585,113.999,1
158,0.876,67.633,0.11,5.27,1
158,0.876,729.165,0.001,148.622,1
158,50.276,1.156,0.11,5.27,1
158,51.779,0,8.189,5.27,1
158,51.779,0.192,0.012,148.622,1
159,4.312,1072.483,0.031,99.479,1
159,176.501,0.151,1.485,99.479,1
160,1.26,3231.771,0.147,155.329,1
160,63.32,0.006,540.579,7.855,1
161,32.134,0.001,142.137,2.565,1
162,2.145,6.169,22.936,2.648,1
162,2.145,2421.21,1.027,116.14,1
162,128.623,0.006,331.644,2.648,1
162,128.623,0.092,14.854,116.14,1
163,2.338,567.314,1.136,61.932,1
163,89.019,0.003,261.997,0.675,1
163,89.019,0.166,18.538,61.932,1
164,1.604,36.948,1.405,4.147,1
164,1.604,1285.075,0.018,210.231,1
164,93.347,0.043,1.011,210.231,1
164,93.66,0.007,76.829,4.147,1
165,1.373,3268.284,0.146,134.34,2
165,120.637,0.001,289.665,1.828,1
165,120.637,0.047,7.718,134.34,1
166,0.368,19.993,1.727,0.767,1
166,27.166,0.152,48.539,0.767,1
167,1.296,10.012,5.356,2.758,1
167,1.296,877.6,0.077,202.904,1
167,121.052,0.189,0.079,202.904,1
167,125.706,0.001,94.764,2.758,1
168,1.383,96.319,1.444,1.274,2
168,1.383,1173.226,0.063,122.903,1
168,114.782,0,87.333,1.274,1
168,114.782,0.14,3.822,122.903,1
169,4.615,572.192,0.043,222.258,2
169,60.661,0.001,101.854,2.251,1
170,2.793,6.401,4.491,2.367,1
170,2.793,213.87,0.049,109.985,1
170,178.437,0.001,4.43,109.985,1
170,178.437,0.001,405.497,2.367,1
171,0.742,222.493,0.712,4.826,1
171,0.742,1686.472,0.019,272.179,1
171,55.31,0.038,52.632,4.826,1
172,27.047,497.024,0.197,121.172,1
172,213.329,0,60.51,2.694,2
172,213.329,0.025,5.771,121.172,1
173,2.456,414.771,0.023,229.591,1
173,118.129,0.002,58.178,9.612,1
173,118.129,0.032,1.071,229.591,1
174,23.027,34.901,0.05,6.287,2
174,23.027,306.063,0.035,196.283,1
175,0.801,33.496,0.949,2.882,1
175,0.801,2019.611,0.012,42.556,1
175,8.197,0.096,91.152,2.882,1
176,0.872,3177.508,0.053,73.68,1
176,86.985,0,87.702,0.754,1
