parIndex,nStates,Phase,State,DSGRNPhase,nStatesRAC,basin,A,B,C,D,basinDiscret
3487,5,0303-0330-1303-3030-3300,0303,0033-0303-0330-1303-3030-3300,5,0.18,-6.604027,8.762165,-5.489522,7.327501,0.18
3487,5,0303-0330-1303-3030-3300,1303,0033-0303-0330-1303-3030-3300,5,0.134,-0.284757,8.633807,-5.489522,7.283236,0.134
3487,5,0303-0330-1303-3030-3300,3030,0033-0303-0330-1303-3030-3300,5,0.508,7.321416,-9.109794,7.246983,-10.612152,0.508
3487,5,0303-0330-1303-3030-3300,0330,0033-0303-0330-1303-3030-3300,5,0.075,-4.168809,3.697209,2.068887,-5.139395,0.075
3487,5,0303-0330-1303-3030-3300,3300,0033-0303-0330-1303-3030-3300,5,0.103,2.159754,2.576563,-1.914316,-4.099233,0.103
3488,3,0303-0330-3030,3030,0013-0033-0303-0330-2013-3030,3,0.413,7.189031,-7.64639,7.137159,-9.010265,0.413
3488,3,0303-0330-3030,0330,0013-0033-0303-0330-2013-3030,3,0.035,-1.768057,1.384113,1.309709,-3.622394,0.035
3488,3,0303-0330-3030,0303,0013-0033-0303-0330-2013-3030,3,0.552,-9.087975,7.096449,-8.641208,6.353597,0.552
3489,4,0303-0330-0332-3030,0332,0303-0330-0332-3030,4,0.133,-2.16474,1.144905,4.358906,5.76e-4,0.133
3489,4,0303-0330-0332-3030,0303,0303-0330-0332-3030,4,0.077,-7.610438,6.285344,-1.66389,5.878337,0.077
3489,4,0303-0330-0332-3030,3030,0303-0330-0332-3030,4,0.629,6.479993,-9.527342,9.274718,-12.519821,0.629
3489,4,0303-0330-0332-3030,0330,0303-0330-0332-3030,4,0.161,-2.132651,1.144905,6.79012,-6.299054,0.161
3490,3,0033-0303-3030,0033,0033-0303-3030,3,0.205,-4.538957,-3.019978,5.010342,1.308741,0.205
3490,3,0033-0303-3030,3030,0033-0303-3030,3,0.461,6.689551,-8.971794,8.138067,-10.422462,0.461
3490,3,0033-0303-3030,0303,0033-0303-3030,3,0.334,-12.243935,5.566874,-7.531793,6.86842,0.334
3491,4,0303-0330-1330-3030,1330,0303-0330-1330-3030,4,0.062,-0.031676,3.53167,1.31068,-4.345341,0.062
3491,4,0303-0330-1330-3030,0330,0303-0330-1330-3030,4,0.116,-4.217727,3.591901,1.31068,-4.31357,0.116
