parIndex,nStates,Phase,State,DSGRNPhase,nStatesRAC,basin,A,B,C,D,basinDiscret
1269,3,0202-0210-2020,0210,0202-0210-2020,3,0.655,0.323983,6.55363,-0.107437,2.088123,0.655
1269,3,0202-0210-2020,2020,0202-0210-2020,3,0.271,5.324065,1.902025,5.934599,-1.58197,0.271
1270,1,0022,0022,0102,1,1,0.782069,-0.270439,4.655249,5.159504,1
1271,2,0202-2020,2020,0202-2020,2,0.382,6.540991,-2.719845,5.839885,-1.755988,0.382
1271,2,0202-2020,0202,0202-2020,2,0.618,-2.158788,6.325275,-5.695794,9.247641,0.618
1272,2,0020-0202,0202,0020-0202,2,0.073,-1.821655,6.704032,-0.789656,5.095788,0.073
1272,2,0020-0202,0020,0020-0202,2,0.927,1.743243,0.066079,9.367233,0.211885,0.927
1273,1,2020,2020,0201-2020,1,1,9.15845,-3.321538,7.344374,-8.819372,1
1274,1,2010,2010,0202-1002-2020,1,1,6.576201,1.62101,4.154822,0.701585,1
1275,1,2020,2020,0202-2020,1,1,8.56248,-1.165083,7.137606,-2.625972,1
1276,2,0202-2020,0202,0202-2020-2100,2,0.836,-0.559428,6.875364,-4.249622,5.837594,0.836
1276,2,0202-2020,2020,0202-2020-2100,2,0.164,6.064997,-2.915683,5.478865,-3.034788,0.164
1277,2,0202-2020,0202,0202-2020,2,0.143,0.625117,5.129066,-0.920419,7.115023,0.143
1277,2,0202-2020,2020,0202-2020,2,0.857,7.803968,-1.065359,6.634167,-2.863289,0.857
1278,1,2020,2020,2020,1,1,6.961029,-1.661549,6.4675840000000004,-7.991495,1
1279,2,0202-2020,2020,0012-0202-2020,2,0.181,6.073337,-0.278486,3.806815,0.821926,0.181
1279,2,0202-2020,0202,0012-0202-2020,2,0.819,-1.806604,7.834565,-5.023671,6.446443,0.819
1280,2,0202-2020,2020,0202-2020,2,0.363,4.162604,3.859763,6.550012,-2.654739,0.363
1280,2,0202-2020,0202,0202-2020,2,0.637,-0.494248,7.654875,-1.843044,4.622751,0.637
1281,2,0020-0202,0020,0020-0202,2,0.184,1.430346,2.468673,6.754259,-1.140118,0.184
1281,2,0020-0202,0202,0020-0202,2,0.816,-6.845733,8.829984,-2.022689,5.276158,0.816
1282,1,0202,0202,0202-2010-2100,1,1,-2.973946,8.765196,-4.274482,5.991675,1
1283,2,0202-1020,1020,0202-1020,2,0.13,4.106783,-0.605205,6.527553,-1.12204,0.13
1283,2,0202-1020,0202,0202-1020,2,0.87,-3.846361,6.775656,-4.266463,5.895003,0.87
1284,1,2000,2000,2000,1,1,6.619378,1.725653,2.232894,2.103506,1
1285,1,2020,2020,0102-0120-2020,1,1,8.112205,0.146424,6.734273,-1.973531,1
