parIndex,nStates,Phase,State,DSGRNPhase,nStatesRAC,basin,A,B,basinDiscret
1730,3,01-11-20,01,01-11-20,3,0.135,-3.565967,6.458319,0.135
1730,3,01-11-20,11,01-11-20,3,0.245,0.146092,6.458319,0.245
1730,3,01-11-20,20,01-11-20,3,0.62,5.707961,0.954179,0.62
1731,2,01-21,01,01-21,2,0.454,-4.730183,7.770474,0.454
1731,2,01-21,21,01-21,2,0.546,1.178611,3.6138150000000002,0.546
1732,2,00-20,20,00-20,2,0.434,4.312507,-2.023598,0.434
1732,2,00-20,00,00-20,2,0.566,-1.868234,3.225703,0.566
1733,2,01-11,01,01-11,2,0.497,-2.919293,7.491806,0.497
1733,2,01-11,11,01-11,2,0.503,1.817152,7.491806,0.503
1734,1,01,01,01,1,1,-6.416282,6.532222,1
1735,3,01-10-20,20,01-10-20,3,0.462,6.906796,-1.418902,0.462
1735,3,01-10-20,01,01-10-20,3,0.116,-4.268762,4.924316,0.116
1735,3,01-10-20,10,01-10-20,3,0.422,1.553157,-1.418898,0.422
1736,2,01-20,01,01-20,2,0.928,-9.198579,6.271001,0.928
1736,2,01-20,20,01-20,2,0.072,3.374838,1.390477,0.072
1737,1,01,01,01,1,1,-5.182626,7.801205,1
1738,2,01-20,20,01-20,2,0.48,6.71401,-0.693145,0.48
1738,2,01-20,01,01-20,2,0.52,-2.934211,5.43029,0.52
1739,2,01-20,01,01-20,2,0.773,-7.240626,5.546723,0.773
1739,2,01-20,20,01-20,2,0.227,4.911927,1.460311,0.227
1740,2,01-11,11,01-11,2,0.583,2.037262,7.126252,0.583
1740,2,01-11,01,01-11,2,0.417,-3.850909,7.152168,0.417
1741,2,01-20,01,01-20,2,0.029,-5.370605,5.368687,0.029
1741,2,01-20,20,01-20,2,0.971,5.667353,-1.138334,0.971
1742,1,20,20,20,1,1,5.477078,-0.566313,1
1743,2,01-20,20,01-20,2,0.385,7.119885,-0.117774,0.385
1743,2,01-20,01,01-20,2,0.615,-5.251522,5.17196,0.615
1744,2,01-20,01,01-20,2,0.859,-6.601316,7.322515,0.859
1744,2,01-20,20,01-20,2,0.141,6.145223,1.285391,0.141
1745,2,01-20,20,01-20,2,0.409,6.265929,0.953171,0.409
1745,2,01-20,01,01-20,2,0.591,-4.792812,6.8176,0.591
1746,2,01-20,20,01-20,2,0.364,7.328812,1.028205,0.364
1746,2,01-20,01,01-20,2,0.636,-4.440568,7.100786,0.636
1747,1,01,01,01,1,1,-8.04661,4.918767,1
1748,2,01-20,20,01-20,2,0.712,7.457352,0.455091,0.712
1748,2,01-20,01,01-20,2,0.288,-2.406099,5.500325,0.288
1749,2,01-20,01,01-20,2,0.283,-1.967669,6.280733,0.283
1749,2,01-20,20,01-20,2,0.717,9.180036,0.71016,0.717
1750,2,01-21,01,01-21,2,0.222,-3.655892,8.140554,0.222
1750,2,01-21,21,01-21,2,0.778,2.286121,3.239588,0.778
1751,2,01-20,01,01-20,2,0.824,-8.8529,5.125094,0.824
1751,2,01-20,20,01-20,2,0.176,4.079675,-0.89579,0.176
1752,2,01-21,21,01-21,2,0.752,5.562998,3.337573,0.752
1752,2,01-21,01,01-21,2,0.248,-1.080495,7.921794,0.248
1753,2,01-20,20,01-20,2,0.322,6.632717,-0.54327,0.322
1753,2,01-20,01,01-20,2,0.678,-5.796164,6.04978,0.678
1754,2,01-20,20,01-20,2,0.434,6.684498,1.335949,0.434
1754,2,01-20,01,01-20,2,0.566,-5.088424,6.149952,0.566
1755,2,01-20,20,01-20,2,0.53,6.009194,-0.632072,0.53
1755,2,01-20,01,01-20,2,0.47,-3.27028,4.3568,0.47
1756,1,01,01,01,1,1,-7.464968,5.336833,1
1757,2,01-20,01,01-20,2,0.963,-7.393764,6.807467,0.963
1757,2,01-20,20,01-20,2,0.037,4.162564,0.521603,0.037
1758,2,01-20,01,01-20,2,0.81,-5.978644,7.994189,0.81
1758,2,01-20,20,01-20,2,0.19,5.470671,1.731848,0.19
1759,2,01-20,01,01-20,2,0.593,-4.18787,6.94458,0.593
1759,2,01-20,20,01-20,2,0.407,6.706032,1.165686,0.407
1760,2,01-20,20,01-20,2,0.994,7.199973,-2.514535,0.994
1760,2,01-20,01,01-20,2,0.006,-3.210481,4.064275,0.006
1761,1,01,01,01,1,1,-10.152898,5.126168,1
1762,2,01-20,20,01-20,2,0.51,6.980611,-0.069333,0.51
1762,2,01-20,01,01-20,2,0.49,-4.186484,4.768586,0.49
1763,2,01-20,01,01-20,2,0.737,-5.912217,7.273556,0.737
1763,2,01-20,20,01-20,2,0.263,4.990446,2.329542,0.263
1764,2,01-20,01,01-20,2,0.401,-3.276028,6.069031,0.401
1764,2,01-20,20,01-20,2,0.599,7.386576,0.157461,0.599
1765,2,01-20,20,01-10-20,2,0.448,5.583658,-0.413801,0.448
1765,2,01-20,01,01-10-20,2,0.552,-3.464138,6.013499,0.552
1766,3,01-11-20,20,01-11-20,3,0.437,7.102704,2.035812,0.437
1766,3,01-11-20,01,01-11-20,3,0.407,-4.914367,6.684638,0.407
1766,3,01-11-20,11,01-11-20,3,0.156,0.788568,6.684638,0.156
1767,1,11,11,01-11,1,1,-0.753806,8.60413,1
1768,3,01-11-20,11,01-11-20,3,0.027,0.89422,4.619433,0.027
1768,3,01-11-20,01,01-11-20,3,0.012,-3.950648,4.619433,0.012
1768,3,01-11-20,20,01-11-20,3,0.961,7.473145,1.922448,0.961
1769,2,01-20,20,01-20,2,0.899,7.226494,0.57125,0.899
1769,2,01-20,01,01-20,2,0.101,-1.151921,6.451086,0.101
1770,2,01-20,01,01-20,2,0.744,-5.3542,6.096313,0.744
1770,2,01-20,20,01-20,2,0.256,5.881218,-0.130647,0.256
1771,2,01-21,21,01-21,2,0.797,3.769844,3.49272,0.797
1771,2,01-21,01,01-21,2,0.203,-0.241766,6.624276,0.203
1772,3,01-11-20,01,01-11-20,3,0.412,-4.733228,7.516016,0.412
1772,3,01-11-20,11,01-11-20,3,0.277,0.163863,7.516016,0.277
1772,3,01-11-20,20,01-11-20,3,0.311,6.672377,1.186742,0.311
1773,1,01,01,01,1,1,-2.455466,6.798696,1
1774,2,01-20,01,01-20,2,0.282,-1.015593,6.840361,0.282
1774,2,01-20,20,01-20,2,0.718,8.589137,0.839675,0.718
1775,2,01-20,20,01-20,2,0.844,7.896844,1.098454,0.844
1775,2,01-20,01,01-20,2,0.156,-3.579275,6.543347,0.156
1776,1,20,20,20,1,1,6.827529,-2.980916,1
1777,3,01-11-20,20,01-11-20,3,0.434,5.888028,-1.112768,0.434
1777,3,01-11-20,11,01-11-20,3,0.008,1.538082,4.660885,0.008
1777,3,01-11-20,01,01-11-20,3,0.558,-4.369822,4.660885,0.558
1778,1,20,20,20,1,1,7.938938,0.911653,1
1779,1,01,01,01,1,1,-6.567056,6.293706,1
1780,2,01-20,01,01-11-20,2,0.449,-6.492065,5.115065,0.449
1780,2,01-20,20,01-11-20,2,0.551,6.216377,2.031604,0.551
1781,2,01-20,20,01-20,2,0.633,8.516175,3.504386,0.633
1781,2,01-20,01,01-20,2,0.367,-3.160703,8.882193,0.367
1782,2,01-20,20,01-20,2,0.473,7.196811,1.885355,0.473
1782,2,01-20,01,01-20,2,0.527,-3.055085,7.475944,0.527
1783,2,01-20,01,01-20,2,0.896,-5.617855,6.323353,0.896
1783,2,01-20,20,01-20,2,0.104,3.420054,0.220802,0.104
1784,2,01-20,20,01-20,2,0.168,4.774497,-0.340388,0.168
1784,2,01-20,01,01-20,2,0.832,-6.402131,6.087391,0.832
1785,2,01-20,01,01-20,2,0.081,-1.362191,6.259707,0.081
1785,2,01-20,20,01-20,2,0.919,6.571931,-0.383685,0.919
1786,2,01-20,01,01-20,2,0.427,-4.154821,6.666748,0.427
1786,2,01-20,20,01-20,2,0.573,6.987315,1.698082,0.573
1787,2,01-20,01,01-20,2,0.337,-3.525236,7.053515,0.337
1787,2,01-20,20,01-20,2,0.663,5.74093,2.406923,0.663
1788,2,01-21,21,01-21,2,0.502,1.998758,0.604809,0.502
1788,2,01-21,01,01-21,2,0.498,-3.923837,5.277018,0.498
1789,2,01-20,01,01-20,2,0.596,-3.627005,5.703755,0.596
1789,2,01-20,20,01-20,2,0.404,5.452235,-0.635972,0.404
1790,2,01-20,20,01-20,2,0.036,2.338111,-0.332327,0.036
1790,2,01-20,01,01-20,2,0.964,-10.247602,6.152931,0.964
1791,2,01-20,20,01-20,2,0.416,6.858233,1.004987,0.416
