parIndex,nStates,Phase,State,DSGRNPhase,nStatesRAC,basin,A,B,C,D,basinDiscret
9145,2,0202-2020,2020,0202-1201-2020,2,0.12,6.930159,-1.403686,5.768871,-5.343949,0.12
9146,3,0202-2020-2101,2101,0202-2020-2101,3,0.48,6.63325,-1.115046,-4.629124,1.239095,0.48
9146,3,0202-2020-2101,0202,0202-2020-2101,3,0.18,-4.088527,4.785117,-4.821544,7.020136,0.18
9146,3,0202-2020-2101,2020,0202-2020-2101,3,0.34,6.633379,-7.467256,5.6259,-5.166495,0.34
9147,2,0202-2020,0202,0202-2020,2,0.74,-3.995097,7.396696,-3.133175,5.856337,0.74
9147,2,0202-2020,2020,0202-2020,2,0.26,6.700731,-3.8797,7.423923,-6.788352,0.26
9148,1,0202,0202,0202,1,1,-9.455803,9.120856,-6.585694,6.296006,1
9149,1,0202,0202,0012-0202,1,1,-8.496249,5.689747,-5.396276,7.891501,1
9150,2,0202-2020,2020,0202-2020,2,0.87,8.21344,-2.784642,6.883291,-5.254322,0.87
9150,2,0202-2020,0202,0202-2020,2,0.13,-3.251946,3.8620390000000002,-0.425418,6.798113,0.13
9151,3,0202-2020-2101,2101,0202-2020,3,0.08,1.717938,1.126344,-0.691147,0.366553,0.08
9151,3,0202-2020-2101,0202,0202-2020,3,0.76,-4.714529,7.079459,-6.60414,6.637966,0.76
9151,3,0202-2020-2101,2020,0202-2020,3,0.16,5.29792,-5.07229,5.071119,-5.969768,0.16
9152,1,0202,0202,0202,1,1,-2.952862,7.56366,-4.696549,5.765348,1
9153,3,0202-1200-2020,2020,0202-1200-2020,3,0.66,7.003983,-5.824879,6.312061,-4.818667,0.66
9153,3,0202-1200-2020,0202,0202-1200-2020,3,0.22,-5.686566,5.138021,-5.37521,4.684862,0.22
9153,3,0202-1200-2020,1200,0202-1200-2020,3,0.12,0.407711,5.138021,0.027075,-0.264791,0.12
9154,2,0202-2020,0202,0121-0202-2020,2,0.12,-3.124831,6.166723,-4.981498,7.127406,0.12
9154,2,0202-2020,2020,0121-0202-2020,2,0.88,6.026634,-3.68276,7.958264,-4.7546,0.88
