86.446,5.016	4.050,450.753
369.990,0.234	5.767,22.682
172.437,0.393
2.344,197.273
52.577,2.417	0.636,69.160
71.888,1.685	0.761,72.262
55.868,1.818	0.873,18.258
1.061,136.063
412.773,2.297	5.175,152.308
81.743,5.247	5.074,37.289
87.258,2.473	1.684,149.896
87.258,8.244	4.308,149.896
4.814,175.718
95.445,0.953
50.654,1.134	0.654,87.956
176.177,0.646	1.780,59.373
4.257,418.727
208.688,0.570
225.134,1.087	3.284,19.501
0.076,316.761
596.363,0.435
61.533,2.422	1.918,45.524
104.187,1.068	1.744,87.704
19.165,3.160	0.229,259.258
186.928,0.629	3.617,38.931
108.204,0.194
92.128,2.523	3.652,91.690
14.772,1.433
100.875,1.760	1.050,96.788
25.846,0.484	0.734,18.127
42.541,6.418	0.684,134.417
200.673,0.462	2.112,35.063
46.179,3.482	0.582,300.956
160.188,2.503
56.776,0.891	7.136,57.352
78.040,1.644	1.569,117.419
0.034,133.583
221.788,5.557	3.768,74.577
15.587,5.320	0.642,436.524
69.606,1.405	1.522,93.882
4.796,165.720
262.493,0.043
58.930,8.364	13.776,272.883
216.245,3.510
22.785,1.293
12.414,2.582
16.152,3.487	0.236,146.130
165.484,0.811	2.202,77.408
1.845,338.192
77.664,0.334	1.167,30.336
1.542,381.907
0.237,111.526
121.998,1.842	8.169,45.219
0.207,50.886
244.940,3.128
134.593,0.178	1.731,9.982
0.218,558.965
237.176,0.358	13.984,21.269
119.119,1.752	5.110,95.049
1.569,90.173
55.271,2.918	0.617,75.232
104.484,0.256	6.392,22.498
91.413,1.074	2.649,81.463
4.418,2.013
0.775,101.748
318.136,1.248	6.983,86.687
88.347,1.016	6.850,46.096
101.920,5.388	10.455,423.781
339.517,0.950	5.648,62.034
53.464,3.941	0.602,38.831
61.679,0.109	1.606,6.957
39.768,3.281	1.939,107.390
0.154,117.034
234.815,1.847	2.853,129.632
38.292,2.357	0.645,67.238
170.030,0.130	2.099,11.686
113.934,0.415	1.386,19.119
141.921,18.779	3.109,92.993
201.496,0.347	3.114,30.804
89.117,0.059
22.875,1.057	0.256,100.998
1.637,121.758
160.631,0.477	3.196,34.860
0.637,136.626
0.728,338.835
30.607,1.228	0.816,66.254
331.518,0.060
170.700,0.580
78.661,3.506	7.763,142.282
1.110,27.560
148.594,1.258
92.538,1.875	7.067,51.020
176.134,1.333	2.387,96.458
0.075,140.168
126.058,0.669
126.058,0.748
26.804,0.292	0.287,20.454
