parIndex,nStates,Phase,State,DSGRNPhase,nStatesRAC,basin,GRHL2,ZEB,miR200,SLUG,basinDiscret
2105,3,1003-1010-1303,1010,1003-1010-1303,3,0.92,8.303037,-11.137838,5.440654,2.246568,0.92
2106,2,0303-1010,0303,0303-1010,2,0.24,1.087545,10.770362,-4.91939,6.706509,0.24
2106,2,0303-1010,1010,0303-1010,2,0.76,6.552827,-8.500207,6.213502,1.483644,0.76
2107,3,1003-1010-1303,1010,1003-1010-1303,3,0.76,6.741491,-13.661153,4.826624,0.612449,0.76
2107,3,1003-1010-1303,1003,1003-1010-1303,3,0.14,6.741491,-1.873067,-0.439185,6.576351,0.14
2107,3,1003-1010-1303,1303,1003-1010-1303,3,0.1,0.135623,4.287438,-4.750989,6.576351,0.1
2108,1,1010,1010,0310-1010,1,1,6.186643,-10.307163,6.304026,-4.343474,1
2109,2,0300-1010,1010,0300-1010,2,0.98,9.722476,-13.609546,7.272292,-1.436949,0.98
2109,2,0300-1010,0300,0300-1010,2,0.02,3.473366,3.613235,1.367872,-1.436949,0.02
2110,3,0303-1003-1010,1003,0303-1003-1010,3,0.06,5.251077,-1.906371,-1.627207,5.236296,0.06
2110,3,0303-1003-1010,1010,0303-1003-1010,3,0.87,5.251077,-14.144052,4.98712,2.842141,0.87
2110,3,0303-1003-1010,0303,0303-1003-1010,3,0.07,-0.148351,8.468827,-6.043771,5.236296,0.07
2111,3,0300-0303-1010,1010,0300-0303-1010,3,0.15,7.286942,-12.667699,2.660757,1.61095,0.15
2111,3,0300-0303-1010,0303,0300-0303-1010,3,0.74,1.077113,10.508865,-7.935664,7.220637,0.74
2111,3,0300-0303-1010,0300,0300-0303-1010,3,0.11,1.077113,4.10888,-2.83972,1.61095,0.11
2112,4,0303-0310-1010-1013,0303,0303-0310-1010-1013,4,0.1,2.507018,7.614431,-4.412002,6.16862,0.1
2112,4,0303-0310-1010-1013,0310,0303-0310-1010-1013,4,0.22,2.507017,-1.205466,6.408711,1.349907,0.22
2112,4,0303-0310-1010-1013,1013,0303-0310-1010-1013,4,0.15,7.321769,-9.713882,1.854558,6.16862,0.15
2112,4,0303-0310-1010-1013,1010,0303-0310-1010-1013,4,0.53,7.321769,-12.773753,7.730585,1.349907,0.53
2113,3,1010-1013-1303,1303,1010-1013-1303,3,0.1,4.472012,4.258066,-3.95119,5.871765,0.1
2113,3,1010-1013-1303,1013,1010-1013-1303,3,0.01,8.366752,-1.131258,1.435938,5.871765,0.01
2113,3,1010-1013-1303,1010,1010-1013-1303,3,0.89,8.366752,-6.044643,7.18881,-0.72967,0.89
2114,1,1310,1310,1310,1,1,5.417156,1.757216,-0.453225,-4.302713,1
