parIndex,nStates,Phase,State,DSGRNPhase,nStatesRAC,basin,GRHL2,ZEB,miR200,SLUG,basinDiscret
2059,3,1003-1010-1303,1003,1003-1010-1303,3,0.49,9.512155,-2.633112,0.291768,7.273306,0.49
2060,1,1010,1010,1010,1,1,6.587358,-12.996577,5.711765,-2.527715,1
2061,3,0303-1010-1013,1013,0303-1010-1013,3,0.12,4.932935,-7.241674,6.316021,5.115839,0.12
2061,3,0303-1010-1013,1010,0303-1010-1013,3,0.7,4.932935,-12.726547,7.761612,3.46279,0.7
2061,3,0303-1010-1013,0303,0303-1010-1013,3,0.18,0.245335,10.564556,-0.071794,5.115839,0.18
2062,3,0303-0311-1011,0311,0303-0311-1011,3,0.35,2.7117,6.340236,2.120237,2.388878,0.35
2062,3,0303-0311-1011,0303,0303-0311-1011,3,0.54,2.7117,11.907393,-4.183145,8.648447,0.54
2062,3,0303-0311-1011,1011,0303-0311-1011,3,0.11,8.454445,-6.146319,5.48598,2.388878,0.11
2063,3,1003-1010-1303,1003,1003-1010-1303,3,0.05,9.192642,-4.819678,-2.430013,5.530969,0.05
2063,3,1003-1010-1303,1010,1003-1010-1303,3,0.91,9.192642,-14.915685,3.288876,-0.481681,0.91
2063,3,1003-1010-1303,1303,1003-1010-1303,3,0.04,4.681798,0.599981,-8.591091,5.530969,0.04
2064,2,0300-1010,0300,0300-1010,2,0.78,-2.200426,6.288515,0.639641,0.3678,0.78
2064,2,0300-1010,1010,0300-1010,2,0.22,4.272407,-8.923708,3.814769,0.3678,0.22
2065,4,0300-0303-1010-1013,1013,0300-0303-1010-1013,4,0.32,6.684403,-9.639787,3.771775,7.701238,0.32
2065,4,0300-0303-1010-1013,0300,0300-0303-1010-1013,4,0.03,3.741424,2.359264,0.784831,2.89745,0.03
2065,4,0300-0303-1010-1013,0303,0300-0303-1010-1013,4,0.11,3.741424,8.516381,-2.155482,7.701238,0.11
2065,4,0300-0303-1010-1013,1010,0300-0303-1010-1013,4,0.54,6.684403,-15.796904,6.712126,2.89745,0.54
2066,3,0303-1003-1010,1003,0303-1003-1010,3,0.07,7.306856,-3.339162,-0.264809,5.83062,0.07
2066,3,0303-1003-1010,1010,0303-1003-1010,3,0.86,7.306856,-15.275561,6.116404,0.561495,0.86
2066,3,0303-1003-1010,0303,0303-1003-1010,3,0.07,1.637445,9.225177,-0.446325,5.83062,0.07
2067,2,0300-1010,0300,0300-1010,2,0.44,2.859636,5.383562,0.329149,-2.493442,0.44
2067,2,0300-1010,1010,0300-1010,2,0.56,8.035962,-12.285808,5.223919,-2.493438,0.56
2068,4,0303-0310-1010-1013,1013,0303-0310-1010-1013-1113,4,0.25,6.825727,-4.528566,1.881857,6.835846,0.25
2068,4,0303-0310-1010-1013,1010,0303-0310-1010-1013-1113,4,0.25,6.825727,-8.448419,6.944644,1.017295,0.25
2068,4,0303-0310-1010-1013,0310,0303-0310-1010-1013-1113,4,0.09,0.931963,0.911618,1.134464,1.017295,0.09
2068,4,0303-0310-1010-1013,0303,0303-0310-1010-1013-1113,4,0.41,0.931963,10.11108,-3.928323,6.835846,0.41
2069,3,0303-1010-1013,0303,0303-1010-1013,3,0.4,1.285267,8.828829,-3.610807,6.049565,0.4
2069,3,0303-1010-1013,1010,0303-1010-1013,3,0.23,7.58573,-9.644802,6.450868,0.182395,0.23
2069,3,0303-1010-1013,1013,0303-1010-1013,3,0.37,7.58573,-3.877743,1.993213,6.049565,0.37
2070,3,0303-1010-1013,1010,0303-1010-1013,3,0.22,7.267746,-12.710538,7.014415,2.309929,0.22
2070,3,0303-1010-1013,1013,0303-1010-1013,3,0.33,7.267746,-6.143371,0.583655,8.204663,0.33
2070,3,0303-1010-1013,0303,0303-1010-1013,3,0.45,2.006507,8.940464,-2.481207,8.204663,0.45
2071,4,0300-0303-1010-1013,1010,0300-0303-1010-1013,4,0.1,7.603352,-12.227037,6.092989,1.7003,0.1
2071,4,0300-0303-1010-1013,0303,0300-0303-1010-1013,4,0.52,1.021544,10.207835,-5.415095,6.606495,0.52
2071,4,0300-0303-1010-1013,0300,0300-0303-1010-1013,4,0.04,1.021544,5.104556,-0.54961,1.7003,0.04
2071,4,0300-0303-1010-1013,1013,0300-0303-1010-1013,4,0.34,7.603352,-7.123759,1.227286,6.606495,0.34
2072,2,0300-1010,1010,0300-1010,2,0.63,7.375823,-13.038338,5.532506,-0.784857,0.63
2072,2,0300-1010,0300,0300-1010,2,0.37,0.966015,3.61179,-0.815888,-0.784857,0.37
2073,3,0300-0303-1010,0303,0300-0303-1010,3,0.41,1.851763,11.797434,-5.715043,6.733178,0.41
2073,3,0300-0303-1010,0300,0300-0303-1010,3,0.28,1.851763,7.056246,0.589359,1.508766,0.28
2073,3,0300-0303-1010,1010,0300-0303-1010,3,0.31,7.644424,-10.751612,6.593992,1.508766,0.31
2074,2,0303-1010,0303,0303-1010-1013,2,0.26,0.116204,9.712237,-4.214949,6.359669,0.26
2074,2,0303-1010,1010,0303-1010-1013,2,0.74,6.758024,-10.92594,8.37031,-0.023277,0.74
2075,3,0303-1010-1013,0303,0303-1010-1013,3,0.17,1.12306,6.391367,-3.66289,6.589281,0.17
2075,3,0303-1010-1013,1010,0303-1010-1013,3,0.68,7.523637,-15.508241,9.044542,1.833194,0.68
2075,3,0303-1010-1013,1013,0303-1010-1013,3,0.15,7.523637,-10.420937,2.586423,6.589281,0.15
2076,3,0001-0301-0303,0001,0001-0301-0303,3,0.04,1.791546,-2.137415,0.458463,3.064653,0.04
2076,3,0001-0301-0303,0301,0001-0301-0303,3,0.06,-3.494767,3.880001,-5.223449,3.064653,0.06
2076,3,0001-0301-0303,0303,0001-0301-0303,3,0.9,-3.494767,9.010231,-5.223449,9.048776,0.9
2077,4,1003-1010-1300-1303,1010,1003-1010-1300-1303,4,0.44,9.144429,-11.529733,5.349069,-0.410341,0.44
2077,4,1003-1010-1300-1303,1303,1003-1010-1300-1303,4,0.09,3.344803,3.110296,-5.842465,5.847853,0.09
2077,4,1003-1010-1300-1303,1003,1003-1010-1300-1303,4,0.14,9.144429,-2.756885,-0.482338,5.847853,0.14
2077,4,1003-1010-1300-1303,1300,1003-1010-1300-1303,4,0.33,3.908165,-0.739066,-0.011056,-0.410341,0.33
2078,3,0303-0310-1010,0310,0303-1010,3,0.09,-0.69736,2.848376,1.771759,1.091846,0.09
2078,3,0303-0310-1010,0303,0303-1010,3,0.66,-0.69736,10.513329,-4.38795,7.130253,0.66
2078,3,0303-0310-1010,1010,0303-1010,3,0.25,5.941129,-7.968855,7.634019,1.091846,0.25
2079,4,0303-0310-1010-1013,0303,0303-0310-1010-1013,4,0.13,-0.047168,6.968521,-5.103244,6.394845,0.13
2079,4,0303-0310-1010-1013,0310,0303-0310-1010-1013,4,0.44,-0.047168,0.530503,0.05137,0.351877,0.44
2079,4,0303-0310-1010-1013,1010,0303-0310-1010-1013,4,0.36,5.332778,-11.466809,6.680236,0.351876,0.36
2079,4,0303-0310-1010-1013,1013,0303-0310-1010-1013,4,0.07,5.332778,-9.511974,1.52562,6.394845,0.07
2080,4,0210-0303-1010-1013,1013,0210-0303-1010-1013,4,0.22,7.657052,-2.89361,4.001899,9.342386,0.22
2080,4,0210-0303-1010-1013,0303,0210-0303-1010-1013,4,0.49,2.318439,11.833898,-2.246743,9.342386,0.49
2080,4,0210-0303-1010-1013,0210,0210-0303-1010-1013,4,0.13,2.318439,-1.064058,8.293752,3.328908,0.13
2080,4,0210-0303-1010-1013,1010,0210-0303-1010-1013,4,0.16,7.657052,-9.176629,8.293752,3.328908,0.16
2081,1,0010,0010,0010,1,1,3.921993,-10.760163,8.011819,-1.643253,1
2082,3,0303-1010-1013,0303,0303-1010-1013,3,0.19,4.073141,6.469689,-4.225618,9.212869,0.19
2082,3,0303-1010-1013,1010,0303-1010-1013,3,0.23,7.166809,-18.592424,6.388889,3.466286,0.23
2082,3,0303-1010-1013,1013,0303-1010-1013,3,0.58,7.166809,-12.265554,0.472611,9.212869,0.58
2083,3,1010-1300-1303,1010,1010-1300-1303,3,0.42,7.87322,-9.136069,4.911066,0.132866,0.42
2083,3,1010-1300-1303,1300,1010-1300-1303,3,0.52,5.82962,2.062959,-0.459211,0.132866,0.52
2083,3,1010-1300-1303,1303,1010-1300-1303,3,0.06,5.82962,5.841393,-6.499369,5.503121,0.06
2084,2,0303-1013,1013,0303-1013,2,0.36,7.988253,-2.777136,2.111584,6.724163,0.36
2084,2,0303-1013,0303,0303-1013,2,0.64,3.563867,11.463938,-2.151105,6.724163,0.64
2085,3,0303-0310-1010,0303,0303-0310-1010,3,0.32,0.16897,10.759864,-1.60694,7.249395,0.32
2085,3,0303-0310-1010,0310,0303-0310-1010,3,0.46,0.168983,0.162432,4.455825,0.682856,0.46
2085,3,0303-0310-1010,1010,0303-0310-1010,3,0.22,6.113765,-11.420878,7.35387,0.682856,0.22
2086,4,1010-1013-1103-1303,1103,1010-1013-1103-1303,4,0.05,8.216393,-2.518464,1.23906,5.933028,0.05
2086,4,1010-1013-1103-1303,1013,1010-1013-1103-1303,4,0.13,8.216393,-7.362119,5.024402,5.933028,0.13
2086,4,1010-1013-1103-1303,1303,1010-1013-1103-1303,4,0.12,4.661828,6.00832,1.239059,5.933028,0.12
2086,4,1010-1013-1103-1303,1010,1010-1013-1103-1303,4,0.7,8.216393,-9.781304,6.50972,-0.545469,0.7
2087,4,0303-0311-1011-1013,1011,0303-0311-1011-1013,4,0.38,5.324159,-9.605192,7.02672,0.689467,0.38
2087,4,0303-0311-1011-1013,1013,0303-0311-1011-1013,4,0.12,5.324159,-9.597149,2.721815,6.013833,0.12
2087,4,0303-0311-1011-1013,0311,0303-0311-1011-1013,4,0.35,-0.966081,3.326033,2.638444,0.689466,0.35
2087,4,0303-0311-1011-1013,0303,0303-0311-1011-1013,4,0.15,-0.966081,9.553092,-1.66646,6.013833,0.15
2088,2,0303-1003,0303,0303-1003,2,0.37,0.579053,8.390683,-2.519541,6.816235,0.37
