78.704,4.119	0.120,282.244
67.950,0.131
46.075,0.479	0.007,45.664
80.311,2.373
9.514,2.407	0.002,132.506
0.015,115.608
319.901,5.288	0.766,123.990
85.087,0.296	0.074,17.953	4.112,17.953
31.380,2.291	0.025,116.815	0.663,116.815
10.580,1.598	0.336,42.388
68.539,0.832	0.011,43.791
112.569,1.685	0.122,84.917
246.462,0.026
66.774,0.578	0.034,57.793	1.247,57.793
0.158,20.521	11.821,20.521
93.120,0.481	0.020,34.541
252.871,0.195	0.034,16.837
226.372,2.153	0.029,106.447
0.282,61.687	6.897,11.241
7.794,0.410	0.005,21.957
2.303,0.629	164.774,0.629	0.052,38.115
258.760,5.781	0.068,399.824	2.588,399.824
0.031,231.643
340.700,3.523
575.046,0.242	0.095,16.657
100.808,0.728	0.013,64.254
293.185,10.169	0.082,103.047
179.047,0.231	0.048,17.174	1.908,17.174
26.310,0.616	0.300,47.891
30.589,2.168	0.201,125.518
6.459,1.352	0.004,42.166
901.528,1.271	0.270,41.704
21.663,4.925	0.038,371.780
19.287,2.354	0.003,81.592
0.031,405.758
153.020,1.001	0.081,89.305
133.501,8.057	0.085,147.189
409.630,3.240	0.063,115.960
0.988,3.874	94.632,3.874	0.019,122.804
0.120,297.225	9.467,8.586
65.520,1.208	0.203,66.428
1.553,1.217	104.524,1.217	0.018,80.693
328.027,0.339	0.111,23.983
47.081,0.323	0.018,31.543
132.838,3.126	0.041,178.794
0.055,54.705	2.569,1.605
122.843,2.174	0.017,142.352	1.639,142.352
0.022,111.043
20.879,0.809	0.079,39.272
152.919,1.441	0.027,134.119	2.699,134.119
20.946,3.050	0.013,111.391
2.940,348.320
247.301,4.117	0.250,90.432
161.809,8.293	0.181,355.204
56.278,1.463	0.011,114.697
241.648,0.454	0.167,40.831
125.306,6.859	0.050,211.581	1.534,211.581
2.050,0.754	70.369,0.754	0.052,68.130
63.576,7.749
170.262,3.774	0.030,189.582
74.886,4.611	0.008,210.643
116.329,2.772	0.685,188.287
46.132,5.758	0.011,44.693
624.997,2.037	1.417,120.174
13.226,0.866	0.006,81.334
121.972,1.340	0.017,78.538
542.044,0.601
4.373,0.663	0.002,37.480
245.271,0.547
84.341,2.375	0.035,197.027
47.793,1.034	0.006,101.763
1.177,11.715	108.738,11.715	0.013,433.481
118.558,0.235	0.460,10.415
128.035,3.420
826.568,1.404
18.954,3.947	0.015,82.696
114.996,6.496	0.215,82.276
293.606,0.080	0.256,7.913
62.694,0.357	0.014,14.662
81.984,1.965	0.009,47.436
519.495,0.170	0.102,16.839
81.304,1.216	0.016,89.591
314.346,4.104	0.242,262.031
89.918,0.375	0.016,32.992
61.340,0.172	0.161,14.169
2.899,0.346	214.386,0.346	0.066,27.414
156.422,2.966	0.071,71.236
36.070,1.975	0.089,172.551
0.009,156.602
0.027,362.338	1.024,362.338
187.815,1.778	0.042,121.920
158.988,5.158	0.108,428.391
0.044,57.259	2.969,57.259
4.049,1.357	114.573,1.357	0.067,60.858
0.079,303.563	1.447,303.563
262.928,4.628	0.312,347.911
0.004,157.636
244.907,2.685	0.076,141.048
72.307,3.550
123.699,0.345	0.269,26.723
84.736,3.168	0.111,295.038
28.439,1.326	0.046,91.954
744.836,2.167	0.143,86.513
155.681,0.406	0.061,30.674
766.585,0.316
39.201,0.075	0.094,3.954
39.775,0.731	0.009,72.519
380.333,0.657
134.057,1.111	0.062,32.657
88.625,0.841	0.211,80.073
9.148,0.853	0.002,38.383
45.384,0.504	0.227,49.640
426.130,1.485	0.176,116.503
652.606,8.165	0.115,441.922
0.044,126.801	2.748,4.931
84.674,1.030	0.042,102.941
130.737,0.849	0.076,33.184
2.041,1.210	94.944,1.210	0.024,115.203
21.347,1.715	0.004,88.403
102.868,0.076
268.961,0.352	0.983,28.873
88.413,0.717	0.064,70.159
195.868,4.373	0.146,154.222
175.629,1.202
183.681,2.430	0.177,197.440
136.466,1.461	0.024,89.114
145.019,0.751	0.098,48.102
0.948,0.947	84.499,0.947	0.014,78.616
1.346,0.940	130.701,0.940
187.041,0.732	0.294,71.688
80.191,1.027	0.067,27.163
110.355,2.309	0.016,82.444	1.271,82.444
2.407,6.874	128.063,6.874	0.029,35.979
81.011,1.030	0.035,85.861	1.467,85.861
3.339,0.849	0.002,23.349
0.538,8.245	26.979,8.245	0.135,61.886
0.081,94.462	6.014,4.162
0.020,337.283
0.060,229.622
103.781,0.034	0.027,2.810
26.500,0.617	0.130,54.771
38.804,1.272	0.020,75.322
4.162,0.127	7.811,0.127
93.657,0.718	0.030,25.075
0.350,152.707	5.954,17.916
37.537,0.080
80.624,9.596	0.019,292.288
30.672,6.054	0.171,92.301
53.852,1.138	0.043,39.210
68.444,0.106	0.011,9.500
0.291,153.887
123.447,3.644	0.023,101.813
0.016,287.801	1.094,287.801
0.158,104.050	6.851,2.620
1.856,1.740	117.513,1.740	0.035,59.911
8.796,0.788	0.010,62.880
2.742,2.776	222.547,2.776	0.111,117.527
71.655,0.068
70.011,2.108	0.013,155.338
177.545,2.613	0.108,204.537
78.402,2.426	0.013,95.111
62.243,5.056	0.013,192.203	1.146,192.203
180.616,14.034	0.023,217.614
77.684,2.758
244.278,3.792	0.082,244.311	2.452,244.311
71.949,1.563	0.025,48.753
0.023,57.228
0.020,210.891
127.105,4.716	0.102,75.654
0.429,233.938	10.677,6.405
158.839,1.595	0.100,94.234
0.005,618.525
206.386,15.520	0.503,100.619
138.211,2.077	0.077,26.506
61.672,5.036	0.058,86.434
1.643,3.738	154.928,3.738	0.059,151.727
268.405,2.989
0.165,55.280	14.802,11.126
112.048,3.443	0.081,83.530
18.336,1.060	0.007,29.637
290.997,3.538	0.483,254.351
411.078,1.751	0.160,86.268
206.213,0.477	0.045,26.067	3.268,26.067
125.298,1.251	0.054,37.948
18.209,1.533	0.002,98.957
29.853,12.260	0.004,66.562
1.753,1.274	0.003,116.804
14.987,8.311	0.004,608.644
17.492,0.618	0.023,52.640
38.379,1.036	0.015,49.477
35.236,1.796	0.010,38.219
134.706,0.467	0.095,25.930	1.866,25.930
184.528,0.733	0.030,71.865
45.230,6.069
0.685,4.101	28.905,4.101	0.010,12.725
131.990,2.361	0.031,167.612	1.517,167.612
1.379,0.550	86.971,0.550	0.070,32.754
251.972,3.124	0.148,177.589	3.575,177.589
0.049,105.382
16.858,10.573	0.083,197.005
54.177,3.571	0.008,290.150	0.711,290.150
87.286,0.460
34.581,10.931	0.052,729.343
65.064,0.621	0.018,57.463
0.027,401.453
20.058,1.165	0.038,103.075	0.357,103.075
83.273,0.324	0.010,23.805
349.926,0.425	0.110,35.043
105.512,5.545	0.048,300.565
84.128,2.969	0.036,154.347	3.230,154.347
0.007,102.751
94.485,3.190	0.059,63.172
74.249,0.368	0.185,29.005
93.999,1.398
81.305,0.876	0.161,60.041
105.959,1.205	0.901,104.468
0.002,80.795
81.875,0.315	0.132,23.782
157.385,1.353	0.120,115.722
0.043,276.939	2.368,36.310
0.210,138.648	5.592,45.290
269.144,0.347	0.157,32.740
820.714,0.588
5.895,9.923
51.893,0.509	0.055,25.487
105.661,0.875	0.234,68.184
1.972,0.127	114.626,0.127
83.070,1.099	0.019,103.309
0.005,144.143
116.545,3.376	0.018,64.476	1.583,64.476
0.012,310.759
67.638,6.959
446.157,1.892	0.119,168.057
100.178,1.351	0.024,73.247	1.101,73.247
145.525,5.009	0.291,158.424
69.713,2.705	0.014,174.935	0.933,174.935
57.163,1.732	0.104,103.252
37.915,2.549
95.506,7.469	0.105,391.011
0.108,463.072	3.670,12.120
0.014,137.044
125.680,0.803	0.024,75.602	1.785,75.602
177.323,1.055	0.049,79.960	3.328,79.960
136.104,0.249
111.755,4.161	0.017,83.590	1.192,83.590
249.722,2.218
0.527,150.638	21.867,1.971
230.414,0.419
48.518,5.987	0.014,300.390
966.866,6.661	0.494,140.441
292.338,2.349
27.956,0.385	0.004,33.529
1.134,3.313	106.883,3.313	0.040,193.123
62.290,1.656	0.007,36.291
302.965,0.677	0.085,66.324
0.011,148.104
73.298,3.271	0.012,259.498
0.857,1.521	58.333,1.521	0.010,136.665
60.277,0.520
20.419,7.342
0.366,210.263	2.280,210.263
93.874,1.708
0.052,250.230
91.661,1.443	0.091,123.246
48.579,10.361	0.217,85.061
