ParIndex,GRHL2,ZEB,miR200,SLUG,Count
178,18.405,1094.59,0.091,258.169,1
178,285.957,0.314,2.27,258.169,1
178,285.958,0,187.002,7.45,1
179,0.184,866.976,0.08,172.269,3
180,3.131,388.181,0.019,128.1,1
180,95.199,0,120.495,2.439,2
180,95.199,0.084,1.648,128.1,1
181,5.82,451.784,0.44,111.836,1
181,73.359,0,66.174,2.127,1
181,73.359,0.014,1.88,111.836,1
182,4.03,26.91,5.432,2.499,1
182,4.03,823.488,0.079,78.729,1
182,177.891,0.001,421.885,2.499,1
183,4.255,18.555,1.461,2.065,1
183,4.255,1522.999,0.018,126.876,2
183,57.578,0,109.945,2.065,1
184,1.044,82.72,0.521,4.579,1
184,1.044,1037.32,0.007,122.399,2
184,24.05,0,39.385,4.579,1
185,1.893,1876.058,0.651,95.324,1
185,125.497,0,134.872,1.244,1
185,125.497,0.011,34.702,95.324,1
186,0.766,463.824,2.045,7.082,1
186,0.766,563.231,0.027,550.416,1
186,73.012,0.003,171.673,7.082,1
186,73.012,0.125,2.298,550.416,1
187,4.264,25.876,4.259,41.077,1
187,301.31,0,284.763,0.458,1
187,301.31,0.01,275.458,41.077,1
188,282.49,0,16.68,1.119,1
189,1.435,123.718,0.016,186.821,2
189,89.445,0,54.446,1.959,1
189,89.445,0.014,1.351,186.821,1
190,3.759,737.462,0.049,137.488,1
190,61.359,0,65.586,4.15,1
190,61.359,0.19,1.067,137.488,1
191,1.922,172.618,0.001,143.991,2
191,139.691,0,5.952,1.647,1
191,139.691,0.097,0.103,143.991,1
192,1.606,688.225,3.623,2.444,1
192,1.606,2783.762,0.07,230.662,2
192,124.526,0.009,21.175,2.444,1
193,1.062,454.27,0.104,62.473,1
193,74.82,0,204.53,0.697,1
193,74.82,0.001,4.653,62.473,1
194,77.017,0,68.885,0.171,1
195,22.031,0,33.489,0.513,1
195,22.031,0.004,20.09,37.942,1
196,0.343,2198.27,0.072,109.441,3
197,6.717,756.27,0.011,523.402,1
197,51.307,0.342,0.755,523.402,1
198,1.648,8.803,0.465,2.468,1
198,1.648,724.854,0.007,138.724,1
198,164.379,0.001,38.499,2.468,1
199,0.738,1087.631,0.024,205.508,2
199,63.936,0.003,46.983,8.545,1
200,98.859,0,42.491,0.211,2
201,1.626,379.849,0.05,103.407,1
201,130.252,0,135.912,1.104,1
201,130.252,0.02,1.523,103.407,1
202,5.721,10.085,4.168,0.432,1
202,83.191,0.002,129.615,0.432,1
203,2.751,25.711,0.046,74.145,2
203,89.286,0,133.954,0.861,1
203,89.286,0.036,3.64,74.145,1
204,1.035,67.777,1.384,6.273,1
204,1.035,1473.579,0.097,397.906,1
204,78.211,0,86.852,6.273,2
205,1.235,410.615,0.929,71.821,1
205,67.212,0.001,84.384,0.781,1
205,67.212,0.04,18.921,71.821,1
206,1.52,21.198,0.149,1.351,1
206,1.52,665.404,0.064,61.787,1
206,117.171,0.001,9.377,1.351,1
206,117.171,0.195,4.065,61.787,1
207,0.902,97.059,0.022,95.237,1
207,52.565,0.535,1.287,95.237,2
208,3.157,353.302,0.008,94.616,1
208,3.188,3.977,0.6,1.099,1
208,103.003,0.006,29.25,1.099,1
209,5.175,441.929,0.051,137.613,1
209,5.181,11.103,1.23,1.957,1
209,340.129,0,107.603,1.957,1
209,340.129,0.003,4.48,137.613,1
210,1.806,5.882,11.805,0.501,2
210,122.685,0.005,565.879,0.501,2
211,10.523,77.452,0.077,1.286,1
211,10.523,1911.896,0.006,104.802,1
211,706.442,0.426,0.407,104.802,1
