1.054,1.852	65.172,0.034	0.011,129.489
64.770,0.450	64.770,11.468	0.027,266.878
0.102,0.147
239.672,0.081	2.682,46.574
1.331,1.687	84.725,0.022	0.016,94.580
0.146,0.388	13.493,0.008	0.002,30.565
2.949,0.898	84.698,0.047	84.698,4.113	0.147,78.518
271.208,0.027	0.110,95.934	5.388,95.934
72.206,0.152	0.018,189.342
235.085,0.561	235.085,7.828	0.194,703.295
154.352,0.026	0.239,90.426
58.530,0.026	58.530,2.362	0.063,112.304	3.596,112.304
0.679,0.613	46.294,0.021	0.007,52.766
37.095,0.105	0.032,9.562	0.032,306.277
184.654,0.369	0.031,64.865
0.521,3.071	29.292,0.111	0.010,81.133
65.460,4.525	65.460,7.351
1.976,0.003	73.017,0.003	0.020,14.212
2.007,3.012	80.087,0.186	0.032,207.137
1.211,7.854	59.257,0.379	0.025,146.581
63.659,0.010	0.067,70.865
33.228,0.034	0.053,91.095
55.922,0.146	0.017,109.580
0.811,0.014	54.816,0.014	0.008,77.082
0.025,2.654	0.002,174.645
0.674,1.875	55.703,0.039	0.012,140.643
61.896,0.239	0.014,389.037
109.459,0.351	0.017,110.119
74.038,0.059	74.038,4.036	0.011,94.407
2.283,0.622	169.482,0.622	0.048,165.242
0.853,1.580	58.263,0.023	0.030,29.716
0.216,0.332	3.784,0.332	0.003,26.297
0.546,2.424	30.298,0.498	0.078,129.297	4.327,129.297
1.346,2.932	66.637,0.054	0.434,124.979
0.729,0.510	41.227,0.008	0.062,37.364
181.544,0.370	0.074,121.929
146.932,0.108	0.037,58.271
167.193,0.011	0.041,78.525	2.881,78.525
0.111,0.036	0.111,1.197
1.729,0.728	118.176,0.728	0.124,19.596
0.037,0.889	0.001,41.962
175.622,0.198	0.471,360.746	11.056,10.518
59.568,0.858	1.439,121.488
88.990,0.071	1.731,55.916
1.410,1.263	41.010,0.017	0.038,54.381
48.750,0.243	0.017,221.347
462.055,0.099	0.138,202.296
0.410,0.870	29.436,0.101	0.146,44.514
1.204,0.737	19.626,0.011	0.016,27.545
82.994,0.051	0.087,338.191
307.191,0.099	0.286,107.908	6.175,107.908
3.044,2.234	84.161,0.059	0.051,26.185
109.878,0.009	0.044,56.834	1.716,56.834
94.510,0.223	0.035,462.055
44.552,0.354	0.054,9.211	0.054,158.784
2.614,0.217	245.889,0.006
283.359,3.031	1.011,231.512	16.605,32.137
1.868,0.613	52.785,0.013	0.035,47.357
22.577,0.116	0.007,8.145	0.007,100.338
119.953,0.039	0.034,77.250	1.566,77.250
2.439,0.611	124.644,0.008	0.260,55.493
249.748,0.036	0.659,3.232	0.659,285.981
1.109,2.628	97.072,0.127	0.086,54.740
293.517,0.410	0.030,146.762	2.970,146.762
82.025,0.032	82.025,1.679	1.312,132.352
1.945,1.661	98.312,0.038	0.023,148.540
122.752,0.051	0.074,65.880
101.093,0.032
4.212,6.143	49.726,1.165	0.067,120.117
4.713,1.877	73.506,0.781	0.098,172.551
6.659,0.039	194.595,0.039	0.179,38.923
90.589,0.100	0.178,6.894	0.178,387.434
0.277,0.889	24.412,0.027	0.005,35.576
571.301,1.105	0.829,144.946	9.323,12.422
78.241,0.264	0.266,675.775
0.001,489.234
10.051,2.428	120.745,0.102	0.120,158.333
3.324,2.055	98.229,0.048	0.114,196.048
0.437,0.098	9.024,0.001
2.353,0.566	92.815,0.022	0.049,50.664
92.425,0.247	0.019,510.385
1.013,1.358	92.825,0.032	0.015,53.055
668.202,0.021	3.188,50.388
135.705,0.012	0.122,71.278
26.036,0.756	0.007,138.674
1.662,1.145	164.074,0.021	0.062,86.078
2.612,0.006	104.516,0.006
101.434,0.049	0.072,2.543	1.238,2.543	0.072,116.497	1.238,116.497
84.636,0.023	0.042,53.920	1.727,53.920
3.232,0.114	99.837,0.114	0.047,70.180
38.556,0.257	0.008,420.606
0.611,0.474	56.678,0.009	0.016,29.220
116.906,0.162	0.101,285.817
254.388,0.051	0.221,2.542	0.221,166.420
26.938,0.126	0.021,5.815	1.274,5.815	0.021,123.382	1.274,123.382
1.430,0.567	95.727,0.017	0.023,11.624
30.693,0.049	30.693,3.763	0.005,283.532
0.177,1.282	14.376,0.017	0.002,111.041
0.065,140.415
322.462,0.193	0.530,208.494
2.431,0.013	165.511,0.013	0.029,47.909
2.015,0.561	144.573,0.016	0.039,44.364
1.317,2.108	129.256,0.035	0.121,188.627
83.160,0.421	1.457,54.111	3.711,54.111
27.464,0.042	0.004,118.703
137.186,0.447	0.191,421.472	4.231,421.472
1.297,0.001	124.484,0.001
0.003,4.057	0.003,116.145
217.488,3.116	0.029,560.341
344.359,0.544	0.114,424.987
171.603,0.020	0.031,1.470	0.031,122.041
90.193,0.085	0.019,427.631
2.953,3.848	62.892,3.848	0.078,211.044
2.532,2.346	184.984,0.025	0.040,110.185
42.506,0.082	42.506,2.121	0.047,128.966
381.149,0.097
4.582,1.963	49.824,1.963	0.047,63.581
2.389,0.155	66.829,0.002
2.975,0.077	154.441,0.077	0.041,88.282
7.440,0.798	136.440,0.008	0.149,53.443
1.473,0.228	89.442,0.228	0.199,33.814
120.518,0.010	120.518,0.765	0.585,28.722
1.981,2.237	68.266,0.772	0.037,121.213
424.224,0.009	0.128,25.849	7.032,25.849
3.119,0.573	201.259,0.009	0.037,31.065
0.230,139.565	4.121,139.565
1.472,0.028	105.420,0.028	0.023,100.293
331.361,0.180	0.232,12.872	0.232,204.450
8.352,0.337	176.842,0.026	0.210,21.518
76.181,0.211	0.010,5.185	0.949,5.185	0.010,337.398	0.949,337.398
0.716,0.002	71.587,0.002
583.181,0.011	0.157,15.600
6.245,0.024	97.020,0.024	0.084,95.336
0.281,0.293	15.538,0.006	0.004,28.393
387.561,0.057	0.487,3.117	0.487,305.585	39.217,5.614
1.706,1.083	151.515,0.070	0.032,45.872
81.723,1.329	0.044,5.145	0.044,389.323	2.916,100.579
20.139,0.013	1.589,68.024	5.353,68.024
