parIndex,nStates,Phase,State,DSGRNPhase,nStatesRAC,basin,A,B,C,D,basinDiscret
5947,2,0303-3030,0303,0030-0302-0303-3000-3030,2,0.603,-10.618184,5.869445,-11.457512,7.740558,0.603
5947,2,0303-3030,3030,0030-0302-0303-3000-3030,2,0.397,6.734523,-10.021081,4.727806,-8.53426,0.397
5948,3,0303-2003-3030,0303,0003-0023-0303-2012-3010-3030,3,0.203,-9.420764,4.996407,-8.084005,6.701173,0.203
5948,3,0303-2003-3030,2003,0003-0023-0303-2012-3010-3030,3,0.373,1.644931,-1.647516,-2.695177,5.166079,0.373
5948,3,0303-2003-3030,3030,0003-0023-0303-2012-3010-3030,3,0.424,5.905227,-11.347425,6.45911,-8.676976,0.424
5949,3,0303-3030-3300,0303,0032-0103-0303-3000-3030-3300,3,0.453,-8.35818,7.170622,-10.984059,7.839536,0.453
5949,3,0303-3030-3300,3300,0032-0103-0303-3000-3030-3300,3,0.174,2.900229,4.903745,-4.308524,-3.7385,0.174
5949,3,0303-3030-3300,3030,0032-0103-0303-3000-3030-3300,3,0.373,6.964381,-8.026803,6.659424,-10.750195,0.373
5950,3,0303-1030-3030,3030,0303-1030-1130-3000-3002-3030-3200-3202,3,0.139,4.532066,-9.084125,4.862268,-11.731638,0.139
5950,3,0303-1030-3030,1030,0303-1030-1130-3000-3002-3030-3200-3202,3,0.162,-0.191812,-5.585496,4.862266,-11.396383,0.162
5950,3,0303-1030-3030,0303,0303-1030-1130-3000-3002-3030-3200-3202,3,0.699,-8.732655,6.691545,-14.809518,4.333073,0.699
5951,2,0303-3030,0303,0003-0013-0303-0320-2300-2320-3003-3013-3030,2,0.313,-8.019764,4.388493,-8.885185,8.064732,0.313
5951,2,0303-3030,3030,0003-0013-0303-0320-2300-2320-3003-3013-3030,2,0.687,8.935819,-13.730963,6.112833,-8.952452,0.687
5952,3,0031-0303-3030,0031,0030-0303-3030,3,0.062,-4.114082,-1.372507,5.308338,-0.016103,0.062
5952,3,0031-0303-3030,3030,0030-0303-3030,3,0.017,3.967521,-6.115694,5.385084,-3.596702,0.017
5952,3,0031-0303-3030,0303,0030-0303-3030,3,0.921,-14.987489,9.405252,-7.373349,7.102993,0.921
5953,2,0303-3030,3030,0030-0130-0300-0303-3030,2,0.552,5.504143,-9.935944,7.499995,-11.438808,0.552
5953,2,0303-3030,0303,0030-0130-0300-0303-3030,2,0.448,-6.606589,7.375952,-8.704104,6.713887,0.448
5954,2,0303-3030,0303,0003-0303-3003-3030,2,0.161,-7.406058,6.416406,-8.118071,6.903528,0.161
